timestamp,total_tagged,"Admission","Alter-ego Allegations","Attorney-Client","Bad","Barriers to Entry","Bid Rig","Breach of Contract","Business Cards or Contacts","CONFIDENTIAL","Calendars or Journals or Planners","Capacity or Utilization","Commodity or Fungibility","Competition","Competitor Pricing","Complaints or Diligence","Concealment or Pretext","Conspiracy","Contracts - Inputs","Contracts - Long-Term Customers","Costs","Dispute Designation","Doorskins","Downstream Distribution","Drafts","Enforcement","Financial Statements","Fix Price","Good","Handwritten Notes","Home Depot and Lowes","Hot","IMD","Investigation","Invoices","Junk","Market Allocation","Market Conditions","Market Share","Meetings or Communications","Non-Responsive","Onex or KKR","Opportunity Contacts or Trade Associations","Org Charts","Output","Pass Through","Price Increase or Price Change Discussions","Price Lists or Announcements","Privilege Dispute","Profits or Margins","Quality Problems","Rebate Programs","Refusal to Negotiate or Firm Pricing","Request for Quote","Responsive","Retail Pricing","Strategy or Planning","Transcript or Court Document","Travel or Expenses","Work-Product"
2019-10-03 00:00:00 CDT,3411,5,0,0,13,9,1,0,4,0,0,74,21,138,56,17,19,1,0,0,132,0,125,12,42,53,36,0,48,8,0,11,689,2,7,19,1,132,76,23,0,126,3,14,0,6,355,636,2,202,15,103,8,0,0,0,156,0,11,0
2019-10-02 00:00:00 CDT,2862,1,0,0,15,0,0,0,1,0,1,89,8,141,65,3,15,2,0,1,143,0,141,29,42,54,110,0,90,47,0,4,260,13,1,36,0,127,66,48,0,361,2,12,0,6,149,116,9,190,15,159,12,1,0,0,265,9,3,0
2019-10-01 00:00:00 CDT,2673,0,0,0,9,0,0,0,0,0,0,54,9,126,59,10,6,2,0,0,103,2,109,10,23,49,53,3,84,14,0,5,302,12,14,36,1,108,24,26,0,149,8,11,0,14,318,145,28,176,40,327,17,0,0,0,182,4,1,0
2019-09-30 00:00:00 CDT,3609,1,0,0,27,8,0,0,0,0,2,118,2,165,69,24,10,10,0,0,111,1,166,16,81,24,110,9,60,0,2,1,408,0,2,67,0,265,38,0,0,68,11,10,0,5,525,299,8,178,30,438,11,0,0,0,229,0,0,0
2019-09-29 00:00:00 CDT,420,0,0,0,1,0,0,0,0,0,0,16,6,40,4,1,0,1,0,0,24,0,43,1,2,0,2,1,11,2,0,0,78,0,0,9,0,18,7,0,0,0,1,1,0,0,36,29,0,28,10,18,4,0,0,0,24,0,2,0
2019-09-28 00:00:00 CDT,976,0,0,0,3,0,0,0,0,0,0,44,0,81,5,0,0,0,0,0,114,0,69,5,4,2,4,0,1,2,0,0,94,0,0,2,0,17,34,0,0,0,0,4,0,0,189,53,0,130,15,76,3,0,0,0,25,0,0,0
2019-09-27 00:00:00 CDT,1833,0,0,0,14,6,1,0,0,0,1,34,4,144,42,12,23,1,0,0,92,0,95,6,39,18,34,1,69,22,1,2,217,0,2,23,0,93,32,0,0,13,7,7,0,9,167,200,0,127,13,164,3,0,0,0,92,0,3,0
2019-09-26 00:00:00 CDT,2366,0,0,0,6,2,0,0,0,0,5,36,11,187,47,15,9,5,0,0,65,0,83,14,43,9,27,4,45,4,2,7,420,1,9,22,1,118,56,1,0,4,20,8,0,5,271,247,1,151,18,270,5,0,0,0,112,0,0,0
2019-09-25 00:00:00 CDT,2720,1,0,0,8,2,0,0,0,0,0,59,13,155,66,5,17,11,0,0,143,0,69,21,49,39,22,11,75,21,1,1,496,0,9,6,1,124,60,5,0,15,34,30,1,0,254,285,5,179,15,238,3,0,0,0,169,0,2,0
2019-09-24 00:00:00 CDT,2853,0,0,0,14,0,0,0,0,0,5,41,17,201,46,2,2,2,0,0,75,2,76,9,17,45,55,1,89,0,2,2,728,3,0,14,1,89,84,2,0,6,7,30,0,4,222,541,18,111,10,143,7,0,0,0,112,0,18,0
2019-09-23 00:00:00 CDT,2061,1,0,0,7,0,0,0,0,0,3,93,13,247,59,22,1,1,0,0,126,0,116,12,17,31,10,1,41,3,2,1,290,6,0,16,0,88,38,8,0,5,23,11,0,1,181,170,2,169,46,124,3,0,0,0,71,0,2,0
