timestamp,total_tagged,"Ads - Disapprovals","Ads - Other Issues","Ads - Overdelivery or Overcharges","Ads - Pilot Program","Attorney-Client","Competition - Google Images","Competition - Other Stock Photo Companies","Confidential","Dreamstime Financials","Foreign Language","Google Alerts","Highly Confidential - AEO","Hot","Hot - Good","Non-Responsive","Responsive","SEO Materials","Search Ranking","Work-Product"
2019-10-03 00:00:00 CDT,271,6,9,0,5,0,0,0,89,0,1,0,0,3,14,0,0,48,96,0
2019-10-02 00:00:00 CDT,526,5,60,1,0,0,0,14,110,0,17,104,0,5,8,0,0,102,100,0
2019-10-01 00:00:00 CDT,750,8,298,18,0,0,0,14,0,0,73,305,0,14,5,0,0,1,14,0
2019-09-30 00:00:00 CDT,708,19,199,6,2,0,0,10,1,0,83,342,0,16,6,0,0,1,23,0
2019-09-29 00:00:00 CDT,161,15,39,5,0,0,0,11,0,0,16,43,0,13,13,0,0,0,6,0
2019-09-27 00:00:00 CDT,848,22,254,16,16,0,1,27,12,0,109,336,0,26,20,0,0,1,8,0
2019-09-26 00:00:00 CDT,902,5,217,24,86,0,0,17,0,5,142,372,0,15,15,0,0,0,4,0
2019-09-25 00:00:00 CDT,322,19,74,19,16,0,0,22,0,3,85,43,0,22,17,0,0,0,2,0
2019-09-24 00:00:00 CDT,403,13,88,16,38,0,0,6,0,0,79,160,0,1,2,0,0,0,0,0
2019-09-23 00:00:00 CDT,1185,10,250,60,155,0,1,7,83,0,255,332,0,3,20,0,0,0,9,0
2019-09-22 00:00:00 CDT,58,0,16,1,7,0,0,0,7,0,16,11,0,0,0,0,0,0,0,0
2019-09-21 00:00:00 CDT,308,20,89,10,28,0,0,0,0,0,89,65,0,7,0,0,0,0,0,0
2019-09-20 00:00:00 CDT,267,7,85,6,36,0,0,0,22,0,83,18,0,2,8,0,0,0,0,0
2019-09-19 00:00:00 CDT,802,4,333,34,60,0,0,3,12,0,288,68,0,0,0,0,0,0,0,0
2019-09-18 00:00:00 CDT,469,15,227,23,21,0,0,2,7,0,140,25,0,2,7,0,0,0,0,0
2019-09-17 00:00:00 CDT,642,31,311,20,0,0,8,20,0,0,208,0,0,19,16,0,0,0,9,0
2019-09-16 00:00:00 CDT,352,22,187,25,0,0,0,11,0,0,86,0,0,5,12,0,0,0,4,0
2019-09-15 00:00:00 CDT,117,10,71,4,0,0,3,1,0,0,14,0,0,8,6,0,0,0,0,0
2019-09-14 00:00:00 CDT,81,6,48,0,0,0,0,1,0,0,18,0,0,1,7,0,0,0,0,0
2019-09-13 00:00:00 CDT,106,12,71,5,0,0,0,0,0,0,13,0,0,1,4,0,0,0,0,0
2019-09-12 00:00:00 CDT,123,24,66,8,0,0,0,0,0,0,20,0,0,2,3,0,0,0,0,0
2019-09-11 00:00:00 CDT,78,11,50,3,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0
2019-09-10 00:00:00 CDT,139,8,79,6,0,0,0,0,0,0,33,0,0,10,3,0,0,0,0,0
2019-08-22 00:00:00 CDT,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2019-08-19 00:00:00 CDT,7,1,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
2019-08-16 00:00:00 CDT,57,50,2,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0
2019-08-15 00:00:00 CDT,430,0,28,0,0,0,0,8,90,0,0,156,0,3,2,0,0,20,123,0
2019-08-14 00:00:00 CDT,378,0,12,0,0,0,0,7,8,0,0,318,0,0,1,0,0,4,28,0
2019-08-13 00:00:00 CDT,178,0,88,0,0,0,1,45,10,0,0,0,0,5,2,0,0,7,20,0
2019-08-12 00:00:00 CDT,456,45,169,13,0,0,0,22,51,0,17,0,0,9,13,0,0,18,99,0
2019-08-09 00:00:00 CDT,120,12,36,22,0,0,0,7,8,0,27,0,0,6,2,0,0,0,0,0
2019-08-08 00:00:00 CDT,115,27,31,15,0,0,0,1,2,0,38,0,0,1,0,0,0,0,0,0
2019-08-06 00:00:00 CDT,40,0,1,0,0,0,1,1,14,0,0,0,0,4,0,0,0,8,11,0
2019-05-10 00:00:00 CDT,160,17,34,33,0,0,0,0,0,0,63,0,0,10,0,0,0,0,3,0
2019-05-09 00:00:00 CDT,23,6,3,1,0,0,0,0,0,0,9,0,0,3,0,0,0,0,1,0
2019-05-08 00:00:00 CDT,330,131,64,48,0,0,0,0,0,0,43,0,0,39,0,0,0,0,5,0
2019-05-07 00:00:00 CDT,48,14,12,3,0,0,0,0,0,0,12,0,0,3,0,0,0,0,4,0
2019-05-02 00:00:00 CDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
