timestamp,total_tagged,"526","829","Admin Fees","Alex Shing","Appointment of Class B Manager","Attorney-Client","BO1","BO2","BO3","BO4","Broker Agreement","Capcelona","Celona Asset Mgmt","Change Orders","Consent of Class B Manager","Construction Schedule","Cottonwood","Danny Yim","Depo - Changqing Mi","Depo - Yingnan Zhao","Depo - Yuan Shuai","Development Agreement","Disbursement Requests","Draw Requests","Economic Report","Financial Statements","First Amendment","Greenland","Guaranty","Henry Global","Henry Zou","Inbound-Quintus","Inbound-Quintus 2","Invoices","Jeff Horowitz","John Kiang","Joinder Agreement","LIN Tzu Chi","LRK","Leases","Loan","Loan Modification","Loan Status Report","Loan fees","M-D","Management Agreement","Management Fee","Mechanics Lien","Meeting Minutes","Michael Brunsten","Mike Phillips","Niol Ma","Offering Materials","Operating Agreement","Project Status Report","Project Valuation","Promissory Note","Qingfu Xu","Quintus - No.12","Quintus - No.21","Quintus Production of Documents 1","Reimbursement Agreement","Related Party Transactions","Removal of Class B Manager","Title Reports","UCC","WGM","Work-Product","Written Consent","breach","budget","request no. 1"
2019-10-03 00:00:00 CDT,926,0,7,3,37,3,0,24,18,58,40,0,37,0,0,4,1,17,47,0,0,0,0,8,30,3,13,5,4,0,11,2,116,124,39,0,44,4,0,0,2,15,0,8,0,41,6,4,0,8,0,75,13,2,14,15,0,0,0,0,0,13,2,1,0,0,0,0,0,0,0,8,0
2019-10-02 00:00:00 CDT,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 00:00:00 CDT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-29 00:00:00 CDT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2019-09-28 00:00:00 CDT,2342,5,12,0,44,0,0,145,133,123,129,43,0,0,0,4,0,198,0,0,0,0,0,3,46,6,91,0,0,1,7,0,0,697,13,164,74,0,0,0,0,42,2,50,8,140,0,22,0,1,0,74,0,0,0,1,0,3,0,0,0,0,16,37,3,0,0,0,0,0,0,5,0
2019-09-27 00:00:00 CDT,1974,0,0,0,51,0,0,68,48,101,95,0,15,0,0,0,0,109,29,0,0,0,2,42,122,0,32,4,8,18,1,0,28,523,28,6,171,2,0,0,13,18,5,3,0,159,2,38,41,0,0,137,0,0,2,0,0,0,0,0,0,28,0,11,0,1,0,0,0,8,0,5,0
2019-09-26 00:00:00 CDT,447,0,0,0,8,0,0,0,0,3,9,0,3,0,4,0,1,51,3,0,0,0,0,0,39,0,2,0,3,0,0,0,77,9,0,0,50,0,0,0,0,3,0,0,0,32,0,2,2,0,0,60,0,0,0,1,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,4,0
2019-09-25 00:00:00 CDT,410,0,0,0,19,0,0,9,1,18,24,0,65,0,3,0,0,0,17,0,0,0,0,7,3,0,3,0,2,0,0,0,0,110,2,0,39,14,0,0,0,1,0,0,0,23,7,0,0,0,0,40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-24 00:00:00 CDT,10,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-23 00:00:00 CDT,1189,0,0,0,64,21,0,32,47,137,9,0,41,4,0,5,0,0,17,0,0,0,0,1,41,0,10,4,0,7,5,0,0,376,0,0,5,0,0,0,0,18,0,0,4,10,7,4,0,0,1,200,84,5,7,2,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0
2019-09-22 00:00:00 CDT,712,0,0,0,16,0,0,13,4,7,3,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,626,0,4,0,0,0,0,0,4,0,0,0,8,1,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-09-21 00:00:00 CDT,510,1,0,0,26,8,0,4,7,60,4,0,18,5,0,0,0,0,23,0,0,0,0,0,17,0,13,0,0,4,4,0,0,186,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,85,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-09-20 00:00:00 CDT,2649,1,2,0,122,76,0,152,101,121,142,0,22,0,6,0,4,51,184,0,0,0,0,72,24,1,0,0,1,0,0,0,0,715,0,57,0,0,0,0,0,32,5,3,0,269,8,29,6,0,15,292,30,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,70,0,8,0
2019-09-19 00:00:00 CDT,1978,0,0,1,80,10,0,68,66,143,109,0,78,1,0,1,0,3,138,0,0,0,0,4,5,0,15,0,3,9,3,0,75,548,2,3,1,0,0,0,0,7,8,0,0,98,11,5,1,0,0,298,55,25,17,1,0,0,0,0,0,81,0,0,3,0,0,0,0,0,0,2,0
2019-09-18 00:00:00 CDT,1239,0,8,0,78,4,0,68,116,60,74,0,41,0,0,7,0,0,66,0,0,0,0,0,2,0,29,0,3,0,29,0,0,265,0,0,0,1,2,0,0,23,5,12,1,132,3,0,0,0,0,187,7,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2019-09-17 00:00:00 CDT,144,0,0,0,22,0,0,1,4,1,0,0,14,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-16 00:00:00 CDT,753,0,0,0,39,0,0,4,42,50,49,0,58,0,0,0,0,7,72,0,0,0,0,0,7,3,12,0,0,0,0,0,0,180,0,23,0,0,0,0,0,0,0,0,40,70,0,0,0,0,0,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-15 00:00:00 CDT,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-12 00:00:00 CDT,180,0,0,0,17,0,0,6,8,8,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,47,0,0,0,0,0,0,0,6,3,0,0,20,1,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-09-11 00:00:00 CDT,156,0,0,0,9,0,0,9,8,15,0,0,8,0,0,0,10,0,7,0,0,0,0,3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,14,2,0,0,0,0,18,11,0,3,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
2019-09-09 00:00:00 CDT,379,0,0,0,1,0,0,11,27,26,2,0,33,0,0,0,2,2,1,0,0,0,0,5,1,2,0,6,0,0,0,0,25,85,0,2,1,1,0,0,1,12,1,2,0,42,0,0,0,0,0,43,13,1,5,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2019-09-06 00:00:00 CDT,166,0,0,0,0,0,0,2,5,13,0,0,15,0,0,0,1,0,7,0,0,0,0,6,2,0,3,0,0,0,0,0,0,71,0,0,0,0,0,0,0,2,1,0,0,14,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-05 00:00:00 CDT,222,0,0,0,3,0,0,10,11,6,0,0,29,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,3,0,0,28,0,0,0,0,0,36,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-04 00:00:00 CDT,76,0,0,0,1,0,0,2,6,2,0,0,2,0,0,1,2,0,0,0,0,0,4,2,8,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-03 00:00:00 CDT,13,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-28 00:00:00 CDT,258,0,0,0,0,0,0,7,7,1,0,0,0,0,16,0,6,0,0,0,0,0,0,5,2,0,7,5,10,0,0,0,75,0,5,0,0,0,0,0,0,0,0,0,0,7,6,2,0,0,0,0,0,0,7,2,0,2,0,0,0,75,0,0,0,0,0,0,0,5,0,6,0
2019-08-27 00:00:00 CDT,13254,6,1,1,150,13,0,108,47,43,4,0,15,8,111,2,12,4,78,0,0,0,2,10,55,0,4,3,13,2,31,3,113,5980,10,3,42,0,0,12,28,51,2,1,5,25,27,4,33,0,0,62,52,26,30,598,9,15,26,0,0,5196,6,2,2,16,11,3,0,127,0,11,0
2019-08-26 00:00:00 CDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
